timestep,L_acc_x,L_acc_y,L_acc_z,L_gyro_x,L_gyro_y,L_gyro_z,L_pressure_1,L_pressure_2,L_pressure_3,L_pressure_4,L_pressure_5,L_pressure_6,L_pressure_7,L_pressure_8,L_pressure_9,L_pressure_10,L_pressure_11,L_pressure_12,L_pressure_13,L_pressure_14,L_pressure_15,L_pressure_16,L_pressure_17,L_pressure_18,L_pressure_19,L_pressure_20,L_pressure_21,L_pressure_22,L_pressure_23,L_pressure_24,L_pressure_25,L_pressure_26,L_pressure_27,L_pressure_28,L_pressure_29,L_pressure_30,L_pressure_31,L_pressure_32,L_pressure_33,L_pressure_34,L_pressure_35,L_pressure_36,L_pressure_37,L_pressure_38,L_pressure_39,L_pressure_40,R_acc_x,R_acc_y,R_acc_z,R_gyro_x,R_gyro_y,R_gyro_z,R_pressure_1,R_pressure_2,R_pressure_3,R_pressure_4,R_pressure_5,R_pressure_6,R_pressure_7,R_pressure_8,R_pressure_9,R_pressure_10,R_pressure_11,R_pressure_12,R_pressure_13,R_pressure_14,R_pressure_15,R_pressure_16,R_pressure_17,R_pressure_18,R_pressure_19,R_pressure_20,R_pressure_21,R_pressure_22,R_pressure_23,R_pressure_24,R_pressure_25,R_pressure_26,R_pressure_27,R_pressure_28,R_pressure_29,R_pressure_30,R_pressure_31,R_pressure_32,R_pressure_33,R_pressure_34,R_pressure_35,R_pressure_36,R_pressure_37,R_pressure_38,R_pressure_39,R_pressure_40
45.41,-809,1963,-1589,716,-509,-3032,1,0,3,0,0,3,1,11,0,2,2,14,0,2,2,0,0,2,3,0,2,2,2,0,2,1,0,2,0,2,2,1,3,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.42,-809,1963,-1589,716,-509,-3032,1,0,3,0,0,3,1,11,0,2,2,14,0,2,2,0,0,2,3,0,2,2,2,0,2,1,0,2,0,2,2,1,3,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.43,21,1605,-922,-223,-726,-3098,2,1,2,0,0,2,1,11,0,1,2,15,1,1,1,15,1,1,1,0,1,2,16,0,1,6,1,1,0,2,1,6,0,2,4,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.44,354,1025,-1317,-733,-526,-2977,0,1,2,0,1,2,1,11,1,2,3,1,1,1,1,0,0,1,0,0,2,2,1,3,3,0,0,1,2,1,1,0,0,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.45,-142,792,-1098,-1075,445,-1295,1,1,2,0,1,2,1,0,1,1,1,1,1,0,2,0,1,2,1,0,3,2,1,1,2,0,2,3,2,2,1,1,3,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.46,-142,792,-1098,-1075,445,-1295,1,1,2,0,1,2,1,0,1,1,1,1,1,0,2,0,1,2,1,0,3,2,1,1,2,0,2,3,2,2,1,1,3,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.47,-142,792,-1098,-1075,445,-1295,1,1,2,0,1,2,1,0,1,1,1,1,1,0,2,0,1,2,1,0,3,2,1,1,2,0,2,3,2,2,1,1,3,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.48,-142,792,-1098,-1075,445,-1295,1,1,2,0,1,2,1,0,1,1,1,1,1,0,2,0,1,2,1,0,3,2,1,1,2,0,2,3,2,2,1,1,3,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.49,-142,792,-1098,-1075,445,-1295,1,1,2,0,1,2,1,0,1,1,1,1,1,0,2,0,1,2,1,0,3,2,1,1,2,0,2,3,2,2,1,1,3,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.5,-268,814,-1166,-1206,201,-765,3,1,2,0,1,0,2,0,0,2,2,1,0,5,2,0,2,0,2,0,0,2,0,2,3,0,2,1,0,0,1,0,2,0,1,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.51,-329,765,-1232,-1366,-169,-257,0,3,1,0,2,3,2,10,2,2,0,13,1,2,4,0,0,2,3,0,3,0,1,1,2,2,0,2,0,2,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.52,-333,689,-1273,-1546,-584,195,2,1,2,0,3,0,2,11,2,1,1,14,1,2,4,15,1,2,3,0,2,2,17,2,2,7,2,0,1,1,2,4,0,3,2,3,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.53,-102,327,-1905,-2357,-1617,1511,0,1,2,0,0,3,2,2,3,1,2,0,3,2,1,1,0,1,1,0,1,1,0,2,3,0,1,0,2,2,2,0,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
